date,month,year,job_posting_group,department,job_no,status,customer,cvr,customer_zip,address,zip,responsible,end_date,sales_estimate_revenue,production_estimate_revenue,final_estimate_revenue,sales_estimate_costs,production_estimate_costs,final_estimate_costs,sales_estimate_contribution,production_estimate_contribution,final_estimate_contribution,budget_revenue,budget_costs,budget_contribution,revenue,costs,costs_of_labor,costs_of_materials,other_costs,contribution,estimated_revenue,estimated_contribution,billable_hours_qty,billable_rate_dep,illness_rate_dep,long_term_illness_rate_dep,internal_rate_dep,long_term_illness_share_dep,revenue_cumsum,costs_cumsum,contribution_cumsum,estimated_revenue_cumsum,estimated_contribution_cumsum,billable_hours_qty_cumsum,days_until_end,budget_costs_share,budget_revenue_share,sales_estimate_contribution_change,production_estimate_contribution_change,final_estimate_contribution_change,days_since_start,total_days,progress,completion_rate,scurve,revenue_scurve,costs_scurve,revenue_scurve_diff,costs_scurve_diff,contribution_scurve,contribution_scurve_diff,contribution_margin,adjusted_wip,adjusted_margin,adjusted_estimated_revenue,wip,overdue,risk,revenue_lag1,revenue_lag2,revenue_lag3,revenue_lag4,revenue_lag5,costs_lag1,costs_lag2,costs_lag3,costs_lag4,costs_lag5,contribution_lag1,contribution_lag2,contribution_lag3,contribution_lag4,contribution_lag5,total_costs,total_contribution,total_margin,labor_cost_share,material_cost_share,dep_505,posting_group_projekt,aarhus,aba,anlæg,auh,bol,byggefelt,cent,central,cts,dnu,domicil,el,elentrepris,elf,elinstallation,entrepris,etap,gødstrup,hf,holstebro,hummel,hus,irmaby,kolding,lej,lillebælt,lisbjerg,logistik,mejrup,ny,nyt,odens,ombygning,osted,ouh,renovering,rosenvæng,skejby,skol,solcel,storparcel,syd,sygehus,tilst,tretårn,udskiftning,udvid,udvikling,vejl,ventilation,viborg,vvs,kbyg11,kbyg22,kbyg33_bad_weather,kbyg33_financial_contraints,kbyg33_insufficient_demand,kbyg33_no_limitations,kbyg33_other_factors,kbyg33_shortage_of_labour_force,kbyg33_shortage_of_material_and/or_equipment,kbyg44_confidence_indicator_total,kbyg44_construction_industry_total_employment_expectations,kbyg44_stocks_of_orders,train
2016-02-01,02,2016,FASTPRIS,505,S898054,finished,104036,18458144,7490,Viemosevej 1 8260 Viby J,8260,8343,2017-11-01,3.95,3.95,3.95,-3.41675,-3.41675,-3.41675,0.53325,0.53325,0.53325,4.319284,-3.24,1.079284,0.01,-0.00562354,-0.0038346,-0.0030898600000000003,0.0013009200000000001,0.00437646,0.007496803866022329,0.0018732638660223296,4.0,0.925164,0.059582,0.023503,0.005819,0.39447,0.01,-0.00562354,0.00437646,0.007496803866022329,0.0018732638660223296,4.0,639,0.0023151985375353882,0.0017356604938271604,0.0,0.0,0.0,0,639,0.0,0.0016458740030730957,0.002249213446654648,0.009714991652720275,-0.007287451567161061,-0.0002850083472797256,-0.0016639115671610609,0.017002443219881334,0.012625983219881334,-0.7782393296749024,-0.003498797687861272,-0.7782393296749024,0.007496803866022329,0,0.0,6.145309907918743,,,,,,,,,,,,,,,,-3.20295713,1.07632857,-0.33604214053280196,0.6818836533571381,0.318116346642862,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898033,finished,166726,30536142,8200,Ølstedvej 20 8200 Aarhus N,8200,8467,2018-01-01,4.727682,4.727682,4.727682,-3.7821456,-3.7821456,-3.7821456,0.9455364,0.9455364,0.9455364,5.8745920499999995,-4.3863218,1.48827025,0.42183145,-0.15559781,-0.08293901,-0.09992766,0.02726886,0.26623364,0.20839178474807812,0.05279397474807811,413.0,0.925164,0.059582,0.023503,0.005819,0.39447,0.42183145,-0.15559781,0.26623364,0.20839178474807812,0.05279397474807811,413.0,700,0.0718060839645878,0.03547341419409766,0.0,0.0,0.0,0,700,0.0,0.04114008990029363,0.002249213446654648,0.013213211432470494,-0.009865773973914421,-0.4086182385675295,0.1457320360260856,0.023078985406384915,-0.24315465459361507,-1.711037192618585,-0.22733418750000003,-1.711037192618585,0.20839178474807812,0,0.0,1.119070707364636,,,,,,,,,,,,,,,,-2.22410303,0.27285025,-0.12267878165698105,0.5330345587768877,0.4669654412231123,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898044,finished,155311,55133018,8000,TIlst Skolevej 17 8381 Tilst,8381,8343,2016-12-01,1.26944,1.26944,1.26944,-1.0599824,-1.0599824,-1.0599824,0.2094576,0.2094576,0.2094576,1.68849,-1.4479824,0.24050760000000002,0.4175,-0.30965523,-0.11830589999999999,-0.21658342000000003,0.02523409,0.10784477,0.3610882840987405,0.051433054098740494,463.5,0.925164,0.059582,0.023503,0.005819,0.39447,0.4175,-0.30965523,0.10784477,0.3610882840987405,0.051433054098740494,463.5,304,0.2472623468306001,0.21385289627829732,0.0,0.0,0.0,0,304,0.0,0.2921324259723558,0.002249213446654648,0.0037977744125419067,-0.003256821484599269,-0.41370222558745806,0.30639840851540073,0.007054595897141175,-0.10079017410285883,-0.34827369135667435,-0.04665541317365268,-0.34827369135667435,0.3610882840987405,0,0.0,0.7206936106656022,,,,,,,,,,,,,,,,-0.74003544,0.19277456,-0.26049368662668376,0.3820568443168229,0.6179431556831771,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898040,finished,105241,20776498,8620,Hedeager 8200 Aarhus N,8200,8475,2016-10-01,1.1,1.1,1.1,-1.0999978000000001,-1.0999978000000001,-1.0999978000000001,2.2e-06,2.2e-06,2.2e-06,0.44649374,-1.46,-1.01350626,-0.44639494,-0.12234442,-0.07018,-0.05028875,-0.00187567,-0.56873936,0.03741508818864792,-0.08492933181135208,275.0,0.925164,0.059582,0.023503,0.005819,0.39447,-0.44639494,-0.12234442,-0.56873936,0.03741508818864792,-0.08492933181135208,275.0,243,-0.9997787203018793,0.08379754794520548,0.0,0.0,0.0,0,243,0.0,0.11122242244484487,0.002249213446654648,0.0010042597238551242,-0.003283851632115786,0.44739919972385517,0.11906056836788421,0.004288111355970911,0.573027471355971,4.648674291806689,0.5687396046893294,4.648674291806689,0.03741508818864792,0,0.0,-0.014961038031310644,,,,,,,,,,,,,,,,-0.95335946,-0.5075782,0.5324100942995834,0.5736264882370606,0.42637351176293947,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S100440,finished,105136,20625430,8700,Skanderborgvej 159 8260 Viby J,8260,8343,2017-11-01,2.023,2.023,2.023,-1.71955,-1.71955,-1.71955,0.30345,0.30345,0.30345,2.126015,-1.38,0.746015,0.0,-0.00330125,-0.00130625,-0.001995,0.0,-0.00330125,0.005085872482290919,0.0017846224822909188,0.0,0.925164,0.059582,0.023503,0.005819,0.39447,0.0,-0.00330125,-0.00330125,0.005085872482290919,0.0017846224822909188,0.0,639,0.0,0.002392210144927536,0.0,0.0,0.0,0,639,0.0,0.001919833677415603,0.002249213446654648,0.004781861525789482,-0.003103914556383414,0.004781861525789482,0.00019733544361658605,0.007885776082172896,0.011187026082172896,1.0,0.003883823529411765,1.0,0.005085872482290919,0,0.0,1.3374185767767617,,,,,,,,,,,,,,,,-1.3461082899999999,0.77240671,-0.5738072603356451,0.39568345323741005,0.6043165467625898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898034,finished,166726,30536142,8200,Ølstedvej 20 8200 Aarhus N,8200,8467,2018-01-01,4.408,4.408,4.408,-4.408,-4.408,-4.408,0.0,0.0,0.0,5.333458,-5.1639567,0.1695013,0.29297435,-0.1769605,0.0,-0.1769605,0.0,0.11601385,0.18276889549895683,0.005808395498956848,0.0,0.925164,0.059582,0.023503,0.005819,0.39447,0.29297435,-0.1769605,0.11601385,0.18276889549895683,0.005808395498956848,0.0,700,0.05493140660337064,0.03426839345883748,0.0,0.0,0.0,0,700,0.0,0.040145303992740466,0.002249213446654648,0.011996085450767807,-0.011614840847582363,-0.2809782645492322,0.16534565915241764,0.02361092629835017,-0.09240292370164983,-0.6555917846072994,-0.11601385,-0.6555917846072994,0.18276889549895683,0,0.0,3.4258740266049474,,,,,,,,,,,,,,,,-1.1492625,0.11669675000000002,-0.10154055318084425,-0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898029,finished,117366,37215228,5220,  ,,8467,2018-06-01,7.1,7.115,7.115,-5.325,-5.336,-5.336,1.775,1.779,1.779,15.835243550000001,-11.88197315,3.9532704,0.221991,-0.08856478,-0.08071613000000001,-0.042455269999999996,0.034606620000000005,0.13342622,0.1180312920637036,0.029466512063703605,313.0,0.925164,0.059582,0.023503,0.005819,0.39447,0.221991,-0.08856478,0.13342622,0.1180312920637036,0.029466512063703605,313.0,851,0.014018792909566584,0.007453709824281163,0.0,0.0,0.0,0,851,0.0,0.01659759745127436,0.002249213446654648,0.03561684272371129,-0.026725093781769488,-0.1863741572762887,0.06183968621823051,0.062341936505480776,-0.07108428349451923,-1.5065381520735446,-0.10389909413418291,-1.5065381520735446,0.1180312920637036,0,0.0,-21.658616497775554,,,,,,,,,,,,,,,,-10.36025847,1.39035288,-0.13420059779647564,0.9113795574267787,0.08862044257322145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898038,finished,155601,29190925,8800,Hedeager 3 8200 Århus N,8200,9360,2019-09-01,9.584083,9.584083,9.584083,-8.4320763,-8.4320763,-8.4320763,1.1520067,1.1520067,1.1520067,11.994282310000001,-11.094769900000001,0.89951241,0.39067314000000003,-0.14826378,-0.10026673,-0.050309690000000004,0.00231264,0.24240936,0.16028430116593967,0.012020521165939643,405.5,0.925164,0.059582,0.023503,0.005819,0.39447,0.39067314000000003,-0.14826378,0.24240936,0.16028430116593967,0.012020521165939643,405.5,1308,0.03257161453289155,0.01336339386362578,0.0,0.0,0.0,0,1308,0.0,0.017583306261116257,0.002249213446654648,0.026977701054623975,-0.024954505646619246,-0.36369543894537604,0.12330927435338077,0.051932206701243225,-0.19047715329875675,-1.6349870480841644,-0.22215327337904214,-1.6349870480841644,0.16028430116593967,0,0.0,56.83467532308675,,,,,,,,,,,,,,,,-7.5018448,0.2440926499999999,-0.032537683264255206,0.6762725866020682,0.3237274133979317,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-02-01,02,2016,FASTPRIS,505,S898039,finished,155601,29190925,8800,Hedeager 3 8200 Århus N,8200,9360,2019-09-01,2.219432,2.219432,2.219432,-1.8660851,-1.8660851,-1.8660851,0.3533469,0.3533469,0.3533469,2.4187173,-1.889117,0.5296003,0.053311019999999994,-0.019984290000000002,-0.0103356,-0.03603729,0.026388599999999998,0.033326730000000006,0.025586736163658502,0.005602446163658502,40.5,0.925164,0.059582,0.023503,0.005819,0.39447,0.053311019999999994,-0.019984290000000002,0.033326730000000006,0.025586736163658502,0.005602446163658502,40.5,1308,0.022041029763999288,0.010578640708860278,0.0,0.0,0.0,0,1308,0.0,0.010709206134275442,0.002249213446654648,0.005440211474816224,-0.0042490273587038885,-0.04787080852518377,0.015735262641296113,0.009689238833520112,-0.023637491166479896,-1.6676464362756946,-0.02954266521099278,-1.6676464362756946,0.025586736163658502,0,0.0,1.1829074897023126,,,,,,,,,,,,,,,,-0.87607428,0.33340607,-0.380568266425993,0.5171862497992172,0.48281375020078277,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,-0.14,0.01,0.03,0.17,0.64,0.02,0.18,0.0,-0.05,0.12,-0.21,1
2016-03-01,03,2016,FASTPRIS,505,S898038,finished,155601,29190925,8800,Hedeager 3 8200 Århus N,8200,9360,2019-09-01,9.584083,9.6549948,9.6549948,-8.4320763,-8.4320763,-8.4320763,1.1520067,1.2229185,1.2229185,11.994282310000001,-11.094769900000001,0.89951241,0.28175131,-0.11864184,-0.08085954,-0.037782300000000005,0.0,0.16310947,0.12826075534726838,0.009618915347268393,330.0,0.890928,0.090323,0.025089,0.004802,0.277777,0.6724244500000001,-0.26690562,0.40551883,0.28854505651320805,0.021639436513208037,735.5,1279,0.023490468434705366,0.010693492615831536,0.0,0.07091179999999997,0.07091179999999997,29,1308,0.02217125382262997,0.031653605885895504,0.0028955796289555397,0.0347303995207778,-0.0321257897103891,-0.6376940504792222,0.2347798302896109,0.06685618923116689,-0.3386626407688331,-1.5193341751290212,-0.36680904977042955,-1.5193341751290212,0.12826075534726838,0,0.0,36.220462420193336,0.39067314000000003,,,,,-0.14826378,,,,,0.24240936,,,,,-7.5018448,0.2440926499999999,-0.032537683264255206,0.6786154221855649,0.3213845778144349,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,-0.06,0.01,0.03,0.18,0.58,0.0,0.24,0.03,-0.05,0.12,-0.21,1
