"","date","month","year","job_posting_group","department","job_no","status","description","customer","cvr","customer_zip","address","zip","responsible","end_date","budget_revenue","budget_costs","budget_contribution","revenue","revenue_budget_share","costs","costs_budget_share","costs_of_labor","costs_of_materials","other_costs","labor_cost_share","material_cost_share","other_cost_share","budget_labor_cost","budget_labor_cost.1","budget_other_cost","contribution","estimated_revenue","estimated_contribution","days_until_end"
"1",2018-01-01,"01","2018","FASTPRIS","515","S139313","finished","Renovering af bolig Egernvej","122466","31064996","4621","Egernvej 67 2000 Frederiksberg","2000","9102",2018-01-18,0.130684,0.104548,0.026136,0,0,0.01322459,0.126492,0,0.01322459,0,0.374586,0.574596,0.050818,0.039162217128,0.060072862608,0.005312920264,-0.01322459,0.0165305928573125,0.0033060028573125,17
"2",2018-01-02,"02","2018","FASTPRIS","515","S137325","finished","Carlsberg 17.7 Byerum","100536","10503698","4100","Ny Carlsbergvej  1799 København V","1799","9103",2018-03-28,2.54451,1.99880458,0.54570542,0.077101,0.042273,0.00807099,0.008075,0,0.00807099,0,0.381586,0.611367,0.007047,0.755720028434,1.185254138055,0.057830413511,0.06903001,0.0102744873888817,0.00220349738888175,85
"3",2018-01-02,"02","2018","FASTPRIS","515","S164391","finished","Biofos opmærkning","170266","25601920","1432","Renseanlæg Avedøre 2650 Hvidovre","2650","9427",2018-02-13,0.04,0.032,0.008,0.016923,0.84615,0.00215025,0,0.00215025,0,0,0.381586,0.611367,0.007047,0.012098752,0.018975408,0.00092584,0.01477275,0.0026878125,0.0005375625,42
"4",2018-01-03,"03","2018","FASTPRIS","505","S116070","finished","Veksleranlæg 137, Lisbjerg","155311","55133018","8000","Bautavej 1 8210 Aarhus V","8210","8467",2018-05-30,0.69607,0.50751162,0.18855838,0.04145,0.059548,0,0,0,0,0,0.44967,0.513958,0.036372,0.228212750165,0.260839657192,0.018459212643,0.04145,0,0,147
"5",2018-01-03,"03","2018","FASTPRIS","505","S149748","finished","AffaldVarme, Røggaskondensering","177029","28927762","SE-402 72","Ølstedvej 20, Lisbjerg 8200 Aarhus N","8200","8467",2018-04-30,1.4164124,0.84810898,0.56830342,0.289053,0.204074,0,0,0,0,0,0.44967,0.513958,0.036372,0.381369165037,0.435892395143,0.030847419821,0.289053,0,0,117
"6",2018-01-03,"03","2018","FASTPRIS","505","S170932","finished","Stark DC Aarhus ","118666","55828415","8260","Rosbjergvej 25 8220 Brabrand","8220","9360",2018-03-27,0.093666,0.05399742,0.03966858,0.045136,0.963764,0.0196142,0.010619,0.00962979,0.00998441,0,0.44967,0.513958,0.036372,0.024023182171,0.027962374956,0.002011862873,0.0255218,0.0340234869642145,0.0144092869642145,83
"7",2018-01-03,"03","2018","FASTPRIS","505","S898024","finished","DNU N4-03-TEK","155601","29190925","8800","Hedeager 3 8200 Aarhus N","8200","8355",2018-03-12,128.49274011,103.330092,25.16264811,0.02980965,0.000541,-0.00293702,0,0.00808,0.00516298,-0.01618,0.44967,0.513958,0.036372,47.100301412444,49.769248802076,6.46054178548,0.03274667,-0.00365223316931349,-0.000715213169313492,68
"8",2018-01-03,"03","2018","FASTPRIS","515","S132227","finished","Carlsberg Byen, Byggefelt 3.1","100646","10627583","2730","Bryggerens Plads 17 1778 København V","1778","9103",2018-03-28,14.082351,10.661214,3.421137,0.196726,0,0.15629403,0.014334,0.0636638,0.09263023,0,0.359551,0.621949,0.0185,3.964987222574,6.424845575056,0.27138120237,0.04043197,0.206447851763988,0.0501538217639879,84
"9",2018-01-03,"03","2018","FASTPRIS","515","S156788","finished","Morsøvej 5 lejligheder","109001","27543367","8382","Læsøvej 6 8382 Hinnerup","8382","9102",2018-03-26,1.138227,0.75,0.388227,0.232681,0.015181,0.13456192,0.008012,0.06398604,0.07057588,0,0.359551,0.621949,0.0185,0.27893075,0.451978,0.01909125,0.09811908,0.2042158683907,0.0696539483906999,82
"10",2018-01-03,"03","2018","FASTPRIS","515","S874837","finished","Carlsbergbygning - byggestrøm","100536","10503698","4100","Bag Elefanterne 2500 Valby","2500","9103",2018-03-28,4.16279397,3.41349009,0.74930388,0.012028,0.007206,0.01615488,0.000194,0.012131,0.00402388,0,0.359551,0.621949,0.0185,1.269503134563,2.057096565197,0.086890390241,-0.00412688,0.0197010731707317,0.00354619317073171,84
"11",2018-01-03,"03","2018","FASTPRIS","515","S874870","finished","Søborg Hovedgade","111711","30071859","8000","Søborg Hovedgade 96 2860 Søborg","2860","9119",2018-03-09,5.94658,5.410432,0.536148,-0.209317,0,0.06143725,0.02271,0,0,0.06143725,0.359551,0.621949,0.0185,2.004935670592,3.336386176256,0.069110153152,-0.27075425,0.0675253341246813,0.00608808412468126,65
