Dato	Uge	Måned-år	År	Sagsbogføringsgruppe	Afd	Sagsnr.	Beskrivelse	Kundenavn	Slut vurdering indtægt	Slut vurdering omkostning	Slut vurdering DB	Faktureret indtægt	Bogført omkostning	Ressource omkostning	Vare omkostning	Andre omkostning	DG	DB	Slut vurdering DG
2020-03-05	10.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-09	11.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-10	11.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-11	11.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-12	11.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-13	11.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-16	12.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-17	12.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-18	12.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-19	12.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-20	12.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-25	13.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-26	13.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-03-31	14.0	2020-03-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-04-01	14.0	2020-04-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
2020-04-06	15.0	2020-04-01	2020	FASTPRIS	515	S250151	Holmegårdsskolen	Entreprenørfirmaet Einar Kornerup A/S 											
